LECROYWR640Zi,55774,Waveform
Segments,1,SegmentSize,42
Segment,TrigTime,TimeSinceSegment1
#1,18-Nov-2019 09:25:59,0                 
Time,Ampl
-1.05e-09,-0.200122
-1e-09,-0.200013
-9.5e-10,-0.200095
-9e-10,-0.200218
-8.5e-10,-0.200245
-8e-10,-0.200095
-7.5e-10,-0.199972
-7e-10,-0.200095
-6.5e-10,-0.200313
-6e-10,-0.200245
-5.5e-10,-0.199904
-5e-10,-0.199959
-4.5e-10,-0.200218
-4e-10,-0.199809
-3.5e-10,-0.199522
-3e-10,-0.200218
-2.5e-10,-0.199577
-2e-10,-0.197054
-1.5e-10,-0.198609
-1e-10,-0.201554
-5e-11,-0.17874
4.1488e-24,-0.109859
5e-11,-0.0269603
1e-10,0.0149052
1.5e-10,0.00973679
2e-10,-0.0033956
2.5e-10,-0.00441838
3e-10,-0.00230465
3.5e-10,-0.00196372
4e-10,-0.00175917
4.5e-10,-0.00257739
5e-10,-0.00338197
5.5e-10,-0.00249556
6e-10,-0.000845492
6.5e-10,0.000804581
7e-10,0.00196372
7.5e-10,0.00175917
8e-10,0.000613663
8.5e-10,-0.000381835
9e-10,-0.000545478
9.5e-10,-0.000150007
1e-09,4.09109e-05
